asset_nbr,asset_stats,install_dt,modlty_full,custmr_catgry_full,custmr_typ_full,srv_regn_full,divsn_full,warrnty_start_dt,warrnty_end_dt,contract_flag,warrnty_end_mnth,warrnty_flg,inputrowindex
ASSET0,Installed,2016-06-15,MODLTY0,,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-06-15,2017-06-25,N,201706,Y,1
ASSET1,Installed,2016-12-07,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-07,2017-12-12,Y,201712,Y,2
ASSET2,Installed,2016-08-16,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-08-16,2017-08-21,N,201708,Y,3
ASSET3,Installed,2016-09-22,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-09-22,2017-09-27,Y,201709,Y,4
ASSET4,Installed,2016-06-24,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-06-24,2017-06-29,Y,201706,Y,5
ASSET5,Installed,2017-01-13,MODLTY2,CUSTMR_CATGRY2,CUSTMR_TYP0,SRV_REGN4,DIVSN4,2017-01-13,2018-01-18,Y,201801,N,6
ASSET6,Installed,2016-07-06,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-07-06,2017-07-11,Y,201707,Y,7
ASSET7,Installed,2016-12-21,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-12-21,2017-12-26,N,201712,Y,8
ASSET8,Shipped,2016-03-30,MODLTY3,CUSTMR_CATGRY3,CUSTMR_TYP0,SRV_REGN4,DIVSN4,2016-03-30,2017-04-04,N,201704,Y,9
ASSET9,Installed,2016-07-19,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-07-19,2017-07-29,N,201707,Y,10
ASSET10,Installed,2016-07-25,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-07-25,2017-07-30,N,201707,Y,11
ASSET11,Installed,2016-09-30,MODLTY0,CUSTMR_CATGRY5,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-09-30,2017-10-05,N,201710,Y,12
ASSET12,Installed,2016-06-24,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-06-24,2017-06-29,Y,201706,Y,13
ASSET13,Installed,2017-01-03,MODLTY4,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2017-01-03,2018-01-08,N,201801,N,14
ASSET14,Installed,2017-02-27,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2017-02-27,2018-03-04,N,201803,N,15
ASSET15,Installed,2016-09-07,MODLTY5,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-09-07,2017-09-06,Y,201709,Y,16
ASSET16,Installed,2016-11-03,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-11-03,2017-11-08,N,201711,Y,17
ASSET17,Installed,2016-08-10,MODLTY2,,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-08-10,2017-08-15,Y,201708,Y,18
ASSET18,Installed,2016-12-03,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-12-03,2017-12-08,N,201712,Y,19
ASSET19,Installed,2016-12-29,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2017-01-31,2018-02-05,N,201802,N,20
ASSET20,Shipped,2017-02-22,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2017-02-22,2018-02-27,N,201802,N,21
ASSET21,Installed,2016-09-22,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-09-22,2017-09-27,Y,201709,Y,22
ASSET22,Installed,2016-11-16,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN11,DIVSN2,2016-11-16,2017-11-21,Y,201711,Y,23
ASSET23,Installed,2017-03-13,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2017-03-13,2018-03-18,Y,201803,N,24
ASSET24,Shipped,2016-08-08,MODLTY2,CUSTMR_CATGRY8,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2016-08-08,2017-08-13,N,201708,Y,25
ASSET25,Installed,2017-02-01,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2017-02-01,2018-02-06,Y,201802,N,26
ASSET26,Installed,2016-09-01,MODLTY2,CUSTMR_CATGRY2,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-09-01,2017-09-06,Y,201709,Y,27
ASSET27,Shipped,2017-06-16,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-11-22,2017-11-27,N,201711,Y,28
ASSET28,Available,2016-07-19,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2016-07-19,2017-07-24,N,201707,Y,29
ASSET29,Installed,2016-12-22,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-12-22,2017-12-27,N,201712,Y,30
ASSET30,Installed,2016-12-12,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN12,DIVSN3,2016-10-11,2017-10-21,Y,201710,Y,31
ASSET31,Installed,2016-12-05,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN11,DIVSN2,2016-12-05,2017-12-10,N,201712,Y,32
ASSET32,Installed,2016-10-05,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-10-05,2017-10-10,Y,201710,Y,33
ASSET33,Installed,2016-06-30,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-06-30,2017-07-05,N,201707,Y,34
ASSET34,Installed,2016-05-20,MODLTY1,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-05-20,2017-05-25,N,201705,Y,35
ASSET35,Installed,2016-09-21,MODLTY2,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-09-21,2017-09-26,Y,201709,Y,36
ASSET36,Shipped,2016-09-26,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-09-26,2017-10-01,N,201710,Y,37
ASSET37,Shipped,2016-05-07,MODLTY6,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-05-07,2017-05-12,N,201705,Y,38
